Date,Holiday,Type,Bank Holiday
2012/04/05,Maundy Thursday,Religious Date,FALSE
2012/04/06,Good Friday,Bank Holiday,TRUE
2012/04/08,Easter Sunday,Religious Date,FALSE
2012/04/09,Easter Monday,Bank Holiday,TRUE
2012/04/21,Queen Elizabeth's Birthday,Notable Date,FALSE
2012/04/23,St George's Day,Religious Date,FALSE
2012/05/07,May Day (Early May Bank Holiday),Bank Holiday,TRUE
2012/05/28,Spring Bank Holiday,Bank Holiday,TRUE
2012/06/05,Diamond Jubilee of Queen Elizabeth II,Bank Holiday,TRUE
2012/06/14,Trooping the Colour,Notable Date,FALSE
2012/06/17,Father's Day,Notable Date,FALSE
2012/07/14,Emmeline Pankhurst Day,Notable Date,FALSE
2012/07/15,St.Swithun's Day (aka St. Swithin's),Religious Date,FALSE
2012/08/27,Summer Bank Holiday,Bank Holiday,TRUE
2012/10/28,British Summertime (BST) Ends,Notable Date,FALSE
2012/10/31,Halloween,Notable Date,FALSE
2012/11/01,All Saints Day,Religious Date,FALSE
2012/11/05,Guy Fawkes Night,Notable Date,FALSE
2012/11/30,St Andrew's Day,Religious Date,FALSE
2012/12/25,Christmas,Bank Holiday,TRUE
2012/12/26,Boxing Day,Bank Holiday,TRUE
2013/01/01,New Year's Day,Bank Holiday,TRUE
2013/01/25,Robert Burns Night (Burns Night),Notable Date,FALSE
2013/01/27,Holocaust Memorial Day,Notable Date,FALSE
2013/02/12,Shrove Tuesday (Pancake Day),Notable Date,FALSE
2013/02/13,Ash Wednesday,Religious Date,FALSE
2013/02/14,Valentines Day,Notable Date,FALSE
2013/03/01,St David's Day,Notable Date,FALSE
2013/03/10,Mothering Sunday (Mothers Day),Notable Date,FALSE
2013/03/17,St Patricks Day,Religious Date,FALSE
2013/03/28,Maundy Thursday,Religious Date,FALSE
2013/03/29,Good Friday,Bank Holiday,TRUE
2013/03/31,Easter Sunday,Religious Date,FALSE
2013/03/31,British Summertime (BST) Begins,Notable Date,FALSE
2013/04/01,Easter Monday,Bank Holiday,TRUE
2013/04/01,April Fool's Day,Notable Date,FALSE
2013/04/21,Queen Elizabeth's Birthday,Notable Date,FALSE
2013/04/23,St George's Day,Religious Date,FALSE
2013/05/06,May Day (Early May Bank Holiday),Bank Holiday,TRUE
2013/05/27,Spring Bank Holiday,Bank Holiday,TRUE
2013/06/14,Trooping the Colour,Notable Date,FALSE
2013/06/16,Father's Day,Notable Date,FALSE
2013/07/14,Emmeline Pankhurst Day,Notable Date,FALSE
2013/07/15,St.Swithun's Day (aka St. Swithin's),Religious Date,FALSE
2013/08/26,Summer Bank Holiday,Bank Holiday,TRUE
2013/10/27,British Summertime (BST) Ends,Notable Date,FALSE
2013/10/31,Halloween,Notable Date,FALSE
2013/11/01,All Saints Day,Religious Date,FALSE
2013/11/05,Guy Fawkes Night,Notable Date,FALSE
2013/11/10,Remembrance Day (Remembrance Sunday),Notable Date,FALSE
2013/11/30,St Andrew's Day,Religious Date,FALSE
2013/12/25,Christmas,Bank Holiday,TRUE
2013/12/26,Boxing Day,Bank Holiday,TRUE
2014/01/01,New Year's Day,Bank Holiday,TRUE
2014/01/25,Robert Burns Night (Burns Night),Notable Date,FALSE
2014/01/27,Holocaust Memorial Day,Notable Date,FALSE
2014/02/14,Valentines Day,Notable Date,FALSE
2014/03/01,St David's Day,Notable Date,FALSE
2014/03/04,Shrove Tuesday (Pancake Day),Notable Date,FALSE
2014/03/05,Ash Wednesday,Religious Date,FALSE
2014/03/17,St Patricks Day,Religious Date,FALSE
2014/03/30,Mothering Sunday (Mothers Day),Notable Date,FALSE
2014/03/30,British Summertime (BST) Begins,Notable Date,FALSE
2014/04/01,April Fool's Day,Notable Date,FALSE
2014/04/17,Maundy Thursday,Religious Date,FALSE
2014/04/18,Good Friday,Bank Holiday,TRUE
2014/04/20,Easter Sunday,Religious Date,FALSE
2014/04/21,Easter Monday,Bank Holiday,TRUE
2014/04/21,Queen Elizabeth's Birthday,Notable Date,FALSE
2014/04/23,St George's Day,Religious Date,FALSE
2014/05/05,May Day (Early May Bank Holiday),Bank Holiday,TRUE
2014/05/26,Spring Bank Holiday,Bank Holiday,TRUE
2014/06/14,Trooping the Colour,Notable Date,FALSE
2014/06/15,Father's Day,Notable Date,FALSE
2014/07/14,Emmeline Pankhurst Day,Notable Date,FALSE
2014/07/15,St.Swithun's Day (aka St. Swithin's),Religious Date,FALSE
2014/08/25,Summer Bank Holiday,Bank Holiday,TRUE
2014/10/26,British Summertime (BST) Ends,Notable Date,FALSE
2014/10/31,Halloween,Notable Date,FALSE
2014/11/01,All Saints Day,Religious Date,FALSE
2014/11/05,Guy Fawkes Night,Notable Date,FALSE
2014/11/09,Remembrance Day (Remembrance Sunday),Notable Date,FALSE
2014/11/30,St Andrew's Day,Religious Date,FALSE
2014/12/25,Christmas,Bank Holiday,TRUE
2014/12/26,Boxing Day,Bank Holiday,TRUE
2015/01/01,New Year's Day,Bank Holiday,TRUE
2015/01/25,Robert Burns Night (Burns Night),Notable Date,FALSE
2015/01/27,Holocaust Memorial Day,Notable Date,FALSE
2015/02/14,Valentines Day,Notable Date,FALSE
2015/02/17,Shrove Tuesday (Pancake Day),Notable Date,FALSE
